title|description|participants|submissions|year|phases|reward|reward_USD|duration_day|challenge|website|papers|winner's code|dataset|field of application|ML domain|real task|ML task|dataset size|dataset details|score|metrics|multi-score|multi-task|results submission|code submission|remark|utility
Fake Life Recognition Contest|SUBMISSIONS are now OPEN!Can a computer tell apart living from non-living things as well as we can? The objective of the Fake Life Recognition Contest aims to build a model that would.Think you hacked it? Tell us how you did it... and submit your code! Cash prize for the best algorithm: USD1000!|45|81.0|2019|1.0|1000|1000|188.0|https://competitions.codalab.org/competitions/20612||||||NLP|identifying living systems from non-living|binary classification||time series of trajectory positions in 2D|Score|accuracy|False|False|True|True||[1.0]
OSACT4 Shared Task on Offensive Language Detection (Subtask A)|OSACT4 Shared Task on Offensive Language Detection|62|110.0|2020|2.0|None|None|29.0|https://competitions.codalab.org/competitions/22825|||||linguistics, multimedia|NLP|offensive language detection|binary classification||10,000 tweets|F1-Score|macro-averaged F1|False|False|True|False||[1.0417323071210618]
OSACT4 Shared Task on Offensive Language Detection (Subtask B)|OSACT4 Shared Task on Offensive Language Detection (Subtask B for hate speech detection)|38|108.0|2020|2.0|None|None|29.0|https://competitions.codalab.org/competitions/22826|||||linguistics, multimedia|NLP|identification of offensive content and hate speech in Arabic language Twitter posts|binary classification||10,000 tweets|F1-Score|macro-averaged F1|False|False|True|False||[1.92404924089422]
GramEval-2020|Сompetition for the complete parsing of Russian texts.|26|661.0|2020|2.0|None|None|24.0|https://competitions.codalab.org/competitions/22902|||https://github.com/DanAnastasyev/GramEval2020||linguistics|NLP|build systems that implement complete morphological and syntactic markup with lemmatization within the framework of Universal Dependencies|binary classification|||Overall quality|POS tagging accuracy, Morphological features accuracy, LAS accuracy (syntax), Lemmatization accuracy.|True|False|True|False||[1.0445188103233016]
Chalearn Multi-modal Cross-ethnicity Face anti-spoofing Recognition Challenge@CVPR2020|Multi-modal Cross-ethnicity Face anti-spoofing Recognition Challenge|303|114.0|2019|2.0|None|None|79.0|https://competitions.codalab.org/competitions/22036|||https://arxiv.org/pdf/1912.02340.pdf||multimedia|computer vision|face anti-spoofing attack detection based on multi-modal data|NN attacks|||APCER|APCER, BPCER, ACER |True|False|True|False||[0.0]
Chalearn Single-modal (RGB) Cross-ethnicity Face anti-spoofing Recognition Challenge@CVPR2020|Single-modal (RGB) Cross-ethnicity Face anti-spoofing Recognition Challenge|329|391.0|2019|2.0|None|None|79.0|https://competitions.codalab.org/competitions/22151|||https://arxiv.org/pdf/1912.02340.pdf||multimedia|computer vision|face anti-spoofing attack detection based on multi-modal data, participates are permitted to use the single RGB modality|NN attacks|||APCER|APCER, BPCER, ACER |True|False|True|False||[0.0]
OffensEval 2020 - Greek|Automatically detecting abusive language in online content, for Greek|73|109.0|2020|1.0|None|None|15.0|https://competitions.codalab.org/competitions/23258|||||linguistics, multimedia|NLP|multilingual offensive language identification in social media|binary classification||||macro-averaged F1|False|False|True|False||[0.0]
OffensEval 2020 - Turkish|This is the CodaLab site for OffensEval 2020 Turkish data set|91|194.0|2020|1.0|None|None|14.0|https://competitions.codalab.org/competitions/23020|||||linguistics, multimedia|NLP|multilingual offensive language identification in social media|binary classification||||macro-averaged F2|False|False|True|False||[0.0]
OffensEval 2020 - Danish|Automatically detecting abusive language in online content, for Danish|84|298.0|2020|1.0|None|None|14.0|https://competitions.codalab.org/competitions/22998|||||linguistics, multimedia|NLP|multilingual offensive language identification in social media|binary classification||||macro-averaged F3|False|False|True|False||[0.0]
OffensEval 2020 - Arabic|Automatically detecting abusive language in online content, for Arabic.|118|171.0|2020|1.0|None|None|15.0|https://competitions.codalab.org/competitions/23021|||||linguistics, multimedia|NLP|multilingual offensive language identification in social media|binary classification||||macro-averaged F4|False|False|True|False||[0.0]
CVPM2020 challenge: The 1st Challenge on Remote Physiological Signal Sensing (RePSS)|This is the first challenge on remote physiological signal measurement, which will be focusing on average heart rate measurement from a short-time color facial videos.|150|117.0|2019|1.0|None|None|380.0|https://competitions.codalab.org/competitions/22287|||||medicine|signal processing, computer vision|measuring the average heart rate from color facial videos|regression|||MAE|MAE, RMSE, Pearson correlation coefficient|True|False|True|False||[0.0]
RuREBus_v2|RuREBus shared task|17|218.0|2020|2.0|None|None|15.0|https://competitions.codalab.org/competitions/23407|||||linguistics|NLP|Named entity recognition, Relation extraction, End-to-end relation extraction|relation extraction|||NER|micro F measure|False|True|True|False|https://github.com/dialogue-evaluation/RuREBus|[1.0]
Multimodal (Audio, Facial and Gesture) based Emotion Recognition challenge|Emotion recognition has a key role in affective computing. People express emotions through different modalities. Integration of verbal and non-verbal communication channels creates a system in which the message is easier to understand. Expanding the focus to several expression forms can facilitate research on emotion recognition as well as human-machine interaction. We plan to organise a competition around two important problems which are: (1) recognition of compound emotions, that require, in addition to performing an effective visual analysis, to deal with recognition of micro emotions. The database includes 31250 facial faces with different emotions of 115 subjects whose gender distribution is almost uniform. (2) recognition of multi-modal emotions composed of three modalities, namely, facial expressions, body movement and gestures, and speech. The corpora contains recordings registered in studio conditions, acted out by 16 professional actors (8 male and 8 female).|83|13.0|2019|3.0|None|None|123.0|https://competitions.codalab.org/competitions/20224|||||multimedia|computer vision|emotion recognition|multi-class classification||||accuracy|False|True|True|True||[0.0]
Emotion challenge|The main challenge of this new dataset is automatic recognition of these multi-emotions from facial expressions and handling analysis of micro emotions. For this challenge the data will be divided into 3 sets - 70 people for initial training, 30 for validation round and 25 for final tests.|224|862.0|2019|2.0|None|None|126.0|https://competitions.codalab.org/competitions/15971|||||multimedia|computer vision|emotion recognition|multi-class classification|||Misclassification |error rate|False|False|True|False|https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8352857&tag=2|[0.0]
Sentimix Spanglish|Sentiment analysis of code-mixed tweets. SemEval 2020 task 9. Spanish sub task.|183|284.0|2019|1.0|None|None|190.0|https://competitions.codalab.org/competitions/20789|||||linguistics|NLP|task of sentiment analysis in code-mixed social media text: predict the sentiment of a given code-mixed tweet|multi-class classification|||Misclassification |average F1|False|True|True|False||[1.1995960240259398]
NTIRE 2020 Image Deblurring Challenge - Track 1 on Desktop|Our objectives are to gauge the s-o-t-a in example-based image deblurring, to promote research on this topic and to introduce a novel benchmark.|213|53.0|2019|2.0|None|None|90.0|https://competitions.codalab.org/competitions/22233|||||multimedia|computer vision|Image Deblurring: task of restoring the contents in a blurry input image based on a set of prior examples of clean and blurry images|image transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[0.0]
NTIRE 2020 Spectral Reconstruction Challenge - Track 2: Real World|To gauge the current state-of-the-art in spectral reconstruction from RGB images, to compare and to promote different solutions we are organizing an NTIRE challenge in conjunction with the CVPR 2020 conference. The largest dataset to date will be introduced with the challenge.|241|112.0|2019|2.0|None|None|97.0|https://competitions.codalab.org/competitions/22226|||||multimedia|computer vision|spectral reconstruction from RGB images|image transformation|||MRAE|MRAE, RMSE, Back projection, Weighted Accuracy|True|False|True|False||[0.0]
NTIRE 2020 Video Deblurring Challenge - Track 3 Video|Our objectives are to gauge the s-o-t-a in example-based video deblurring, to promote research on this topic and to introduce a novel benchmark.|141|32.0|2019|2.0|None|None|90.0|https://competitions.codalab.org/competitions/22235|||||multimedia|computer vision|Video Deblurring|video transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[0.0]
NTIRE 2020 NonHomogeneous Dehazing Challenge|Our objectives are to gauge the s-o-t-a in example-based single image dehazing, to promote research on this topic and to introduce a novel benchmark.|300|1070.0|2020|2.0|None|None|85.0|https://competitions.codalab.org/competitions/22236|||||multimedia|computer vision|NonHomogeneous Dehazing: restoring the clean contents from a hazy input image based on a set of prior examples of hazy and hazy-free images|image transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[-16.0]
NTIRE 2020 Real Image Denoising Challenge - Track 1 - rawRGB|Our objectives are to gauge the s-o-t-a in image denoising, to promote research on this topic and to introduce a novel benchmark.|367|547.0|2019|2.0|None|None|97.0|https://competitions.codalab.org/competitions/22230|||||multimedia|computer vision|Real Image Denoising: restoring the clean contents in an input image|image transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[6.714285714285714]
NTIRE 2020 Demoireing Challenge - Track 1: Single image|Based on a novel dataset we propose a image demoireing challenge to promote research on this topic.|281|1142.0|2020|2.0|None|None|84.0|https://competitions.codalab.org/competitions/22223|||||multimedia|computer vision|Burst Demoireing: removing the moire effect from an input image based on a set of examples of images with and without the moire effect|image transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[-2.5999999999999996]
NTIRE 2020 Perceptual Extreme Super-Resolution Challenge|Our objectives are to gauge the s-o-t-a in example-based single image extreme super-resolution, to promote research on this topic and to introduce a novel DIV8K benchmark.|566|502.0|2019|2.0|None|None|97.0|https://competitions.codalab.org/competitions/22217|||||multimedia|computer vision|super-resolving (increasing the resolution) an input image with a magnification factor x16 based on a set of prior examples of low and corresponding high resolution images|image transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[8.5]
NTIRE 2020 Video Quality Mapping - Track 1: Supervised|Our objectives are to gauge the s-o-t-a in example-based video quality mapping, to promote research on this topic and to introduce a novel benchmark.|207|124.0|2019|2.0|None|None|107.0|https://competitions.codalab.org/competitions/20247|||||multimedia|computer vision|examble-based Video Quality Mapping, that is, the task of mapping in quality an input video (from a known source domain) to a target video domain based on sets of prior examples of videos|image transformation|||MOS|MOS|False|False|True|False||[1.07433729095932]
NTIRE 2020 Real World Super-Resolution Challenge - Track 1: Image Processing artifacts|Learn why most super-resolution methods fail on images from real cameras and beat SOTA.|818|252.0|2019|2.0|None|None|94.0|https://competitions.codalab.org/competitions/22220|||||multimedia|computer vision|super-resolve images from the Source Domain to the Target Domain|image transformation|||MOS|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|False|False|True|False||[1.0978588319134464]
OffensEval 2020 - English - Evaluation Phase|This is the competition site for the TEST set of the second edition of OffensEval organized at SemEval 2020 (Task 12). SemEval 2020 will take place on September 13 and 13, 2020 co-located with COLING in Barcelona, Spain.|241|559.0|2020|3.0|None|None|32.0|https://competitions.codalab.org/competitions/23285|||||linguistics, multimedia|NLP|Multilingual Offensive Language Identification in Social Media|binary classification||||macro-averaged F4|False|False|True|False||[0.0]
AutoML 2018 challenge :: PAKDD2018|AutoML 2018 Challenge.|343|1258.0|2017|2.0|3000|3000|852.0|https://competitions.codalab.org/competitions/17767|https://automl.chalearn.org/|https://hal.archives-ouvertes.fr/hal-01906197/document||||AutoML|provide code for solving real world classification problems without any human intervention|binary classification|||<Rank>|AUC|False|False|True|True||[0.0]
DeepFashion2 Challenge 2020 - Track 2 Clothes Retrieval|In this challenge, we provide a more realistic setting. Instead of being provided the ground truth query clothing item, participants should detect clothing items in images from consumers. For each detected clothing item, participants need to submit the top-10 retrieved clothing items detected from shop images. Top-10 retrieval accuracy is employed as the evaluation metric. We emphasize the retrieval performance while still consider the influence of detector. If a clothing item fails to be detected, this query item is counted as missed.|115|321.0|2020|2.0|None|None|66.0|https://competitions.codalab.org/competitions/22967|||||fashion|computer vision|Given a detected item from a consumer-taken photo, this task aims to search the commercial images in the gallery for the items that are corresponding to this detected item|multi-class classification|||Top-10|accuracy|False|False|True|False||[1.5342519032895077]
DeepFashion2 Challenge 2020 - Track 1 Clothes Landmark Estimation|This task aims to predict landmarks for each detected clothing item in an image. In this task, there are 192K images for training, 32K images for validation and 63K images for test. We adopt the same evaluation metric employed in the cocodataset. Different from coco dataset, where only one category has key-points, a total of 294 landmarks of 13 categories in DeepFashion2 are presented. Besides the coordinates of 294 landmarks of a detected clothing item, its category should also be included in final prediction files.|97|159.0|2020|2.0|None|None|66.0|https://competitions.codalab.org/competitions/22966|||||fashion|computer vision|predict landmarks for each detected clothing item in an image|multi-class classification|||AP|AP|False|False|True|False||[1.6559573176452849]
2020 Duolingo Shared Task on Simultaneous Translation And Paraphrase for Language Education (STAPLE)|A competition to predict all possible translations of a given input prompt, with scoring based on frequencies derived from real learner data, and 5 language tracks.|50|357.0|2020|2.0|None|None|43.0|https://competitions.codalab.org/competitions/23643|http://sharedtask.duolingo.com/#introduction||||linguistics|NLP|Simultaneous Translation And Paraphrase for Language Education (STAPLE)|multi-class classification|||Weighted F1|macro-weighted F1|False|False|True|False||[0.0]
The Shared Task on Sarcasm Detection|Shared Task in Workshop on Figurative Language Processing|216|1983.0|2020|2.0|None|None|88.0|https://competitions.codalab.org/competitions/22247|||||linguistics|NLP|sarcasm detection|binary classification|||f-measure|F1|False|True|True|False||[1.266755050064543]
The Second Shared Task on Metaphor Detection|Shared Task in Workshop on Figurative Language Processing|134|1102.0|2020|4.0|None|None|96.0|https://competitions.codalab.org/competitions/22188|||||linguistics|NLP|detect, at word level, all content-word metaphors in a given text|binary classification|||f-measure|F1|False|True|True|False||[1.1445493837041778]
Interspeech Shared Task: Automatic Speech Recognition for Non-Native Children’s Speech|A joint shared task between ETS and FBK.|32|74.0|2020|2.0|None|None|11.0|https://competitions.codalab.org/competitions/23672|||||linguistics|NLP|non-native children's speech recognition|binary classification|||wer|Word Error Rate (WER)|False|False|True|False||[0.0]
CLVision challenge|Continual Learning for Computer Vision Challenge.|93|340.0|2019|3.0|2300|2300|443.0|https://competitions.codalab.org/competitions/23317||||||computer vision|creating autonomous agents which can learn continuously and acquire new complex skills and knowledge|Continuous Learning|||<Rank>|accuracy,time,disk,memory|True|True|True|False||[0.0]
eHealth KD @ IberLEF 2020|Automated knowledge extraction from electronic health documents.|29|35.0|2020|2.0|None|None|71.0|https://competitions.codalab.org/competitions/23454|https://knowledge-learning.github.io/ehealthkd-2020/||||medicine|NLP|modeling the human language in a scenario in which Spanish electronic health documents could be machine readable from a semantic point of view: Entity recognition, Relation extraction|multi-class classification|||F1|F1, precision, recall|True|True|True|False||[0.0]
COMP90042-2020 Project 1: Climate Change Misinformation Detection|Class project of COMP90042 Natural Language Processing|319|6442.0|2020|2.0|None|None|40.0|https://competitions.codalab.org/competitions/24205|||||climate|NLP|detect whether a document contains climate change misinformation|binary classification|||F1_Score|F1|False|False|True|False||[1.535243553008596]
The Semi-Supervised DAVIS Challenge on Video Object Segmentation @ CVPR 2020|Submission site for the 2020 DAVIS Challenge on Video Object Segmentation for the semi-supervised track.|345|4849.0|2019|2.0|None|None|396.0|https://competitions.codalab.org/competitions/20516|https://davischallenge.org/challenge2020/semisupervised.html|||||computer vision|video object segmentation|video recognition|||Global Mean|Region Similarity (J) and Contour Accuracy (F)|True|False|True|False||[1.1117654128109602]
CAPITEL-EVAL 2020 - NERC|The CAPITEL corpus is a collection of news articles in Spanish. This website is for the subtask on Named Entity Recognition and Classification (NERC)|30|18.0|2020|1.0|None|None|7.0|https://competitions.codalab.org/competitions/23011|||||news|NLP|identifying and classifying NEs in Spanish news articles|multi-class classification|||F1|F1, precision, recall|True|False|True|False||[0.0]
CAPITEL-EVAL 2020 - UD|The CAPITEL corpus is a collection of news articles in Spanish. This website is for the subtask on Universal Dependency Parsing (UD).|17|13.0|2020|1.0|None|None|7.0|https://competitions.codalab.org/competitions/23178|||||news|NLP|Universal Dependency parsing of Spanish news articles||||LAS|Unlabeled Attachment Score (UAS), Labeled Attachment Score (LAS)|True|False|True|False||[0.0]
Fashion IQ Challenge 2020|Fashion Image Retrieval Challenge.We offer cash prizes for top winners.|61|231.0|2020|2.0|None|None|103.0|https://competitions.codalab.org/competitions/22946|https://sites.google.com/view/cvcreative2020/fashion-iq?authuser=0#h.p_f0ZXPhQ1JOPz||||fashion|computer vision, NLP|retrieving images by natural language based feedback|conversational image search retrieval systems|||AVG|recall|False|False|True|False||[1.4952076677316295]
EPIC-KITCHENS-55 Action Recognition|Classify trimmed action segments from the EPIC-KITCHENS-55 dataset.|153|557.0|2020|1.0|None|None|335.0|https://competitions.codalab.org/competitions/20115||||||computer vision, NLP|Classify trimmed action segments from seen and unseen kitchens by action verb and noun|multi-class classification|||Top-1 Accuracy (%)|accuracy, precision, recall and F1|True|False|True|False||[0.0]
EPIC-Kitchens-55 Action Anticipation|Anticipate a future action in an action sequence from EPIC-Kitchens-55.|125|535.0|2020|1.0|None|None|335.0|https://competitions.codalab.org/competitions/20071||||||computer vision|anticipation of a future action from the observation of a preceding video segment|multi-class classification|||Top-1 Accuracy (%)|accuracy, precision, recall and F2|True|False|True|False||[0.0]
OpenKBP - 2020 AAPM Grand Challenge|Develop a method to predict patient-specific guidelines for radiation therapy using real patient images.|300|2370.0|2020|2.0|None|None|100.0|https://competitions.codalab.org/competitions/23428|||||medicine|computer vision|dose prediction methods for knowledge-based planning (KBP): clinical quality dose distribution for a patient given only a contoured CT image|regression||340 contoured CT images and their corresponding dose distributions|Dose score|MAE|False|True|True|False||[0.0]
YouMakeup VQA Challenge|A competition held by CVPR LVVU Workshop 2020|17|42.0|2020|4.0|None|None|56.0|https://competitions.codalab.org/competitions/24108|https://languageandvision.github.io/youmakeup_vqa/index.html|||||computer vision, NLP|VQA: Facial Image Ordering Sub-Challenge and Step Ordering Sub-Challenge.|multi-class classification||2,800 videos from YouTube, spanning more than 420 hours in total|Accuracy|accuracy|False|True|True|False||[1.109185050801408]
HACS Temporal Action Localization Challenge - Supervised Learning Track|A CVPR'20 video recognition challenge.|30|53.0|2020|1.0|None|None|51.0|https://competitions.codalab.org/competitions/24433||||||computer vision|temporally localize actions in untrimmed videos|multi-class classification||200 action classes, nearly 140K action segments annotated in nearly 50K videos|Mean Average Precision|mAP|False|False|True|True||[1.4383269961977185]
NightOwls Detetection Challenge 2020|NightOwls Detection competition as part of Scalability in Autonomous Driving, CVPR 2020|45|55.0|2020|2.0|None|None|160.0|https://competitions.codalab.org/competitions/24781|||||autonomous driving|computer vision|Pedestrian detection at night|autonomous driving|||Average Miss Rate (Reasonable)|Average Miss Rate|False|True|True|True||[0.0]
BDD100K Multiple Object Tracking Challenge|<p>This challenge evaluates algorithm for object detection with bounding box output on BDD100K dataset.</p>|48|160.0|2020|2.0|None|None|164.0|https://competitions.codalab.org/competitions/24910|||||autonomous driving|computer vision|multiple object tracking: emporal association of objects within videos|autonomous driving|||mMOTA|mean Multiple Object Tracking Accuracy (mMOTA, mean of MOTA of each category)|False|False|True|False||[0.0]
Real-time distortion classification in laparoscopic videos|ICIP2020 Challenge for Distortion classification in laparoscopic videos in real-time|35|287.0|2020|2.0|None|None|15.0|https://competitions.codalab.org/competitions/25104|||||medicine|computer vision|automated video enhancement systems: real-time classification of distortions within a laparoscopic video|multi-class classification|||F1-score (Single + Multi distortions)|speed, accuracy, F1|True|False|True|False||[1.1237150263698936]
FACT@IberLEF2020|NLP competition - FACT|29|35.0|2020|1.0|None|None|91.0|https://competitions.codalab.org/competitions/23717|||||linguistics|NLP|classify events in Spanish texts, according to their factuality status|multi-class classification|||Macro-F|Precision, Recall, F1 score for each category, Macro-F1, Global accuracy.|True|True|True|False||[1.2910969310240046]
Fincausal 2020|This is a competition for FinCausal-2020 Shared Task - Financial Document Causality Detection.|76|628.0|2020|6.0|None|None|150.0|https://competitions.codalab.org/competitions/23748|||||finance|NLP|experiment causality detection, and focuses on determining causality associated to an event|binary classification, relation extraction|||F1|Precision, Recall, F1|True|True|True|False||[1.1480525824407426]
Learning to Run a Power Network|Train controlers to conduct a power grid for as long as possible while avoiding incidents.|74|40.0|2019|2.0|None|None|412.0|https://competitions.codalab.org/competitions/20767|||||electricity|RL|predict flows in the French long distance high voltage electricity transmission grid|reinforcement learning|||score|score|False|False|True|True||[0.0]
ECCV 2020 ChaLearn LAP Fair Face Recognition challenge|This Challenge focuses on bias analysis and mitigation methodologies, which will result in more fair face recognition and analysis systems.|193|1806.0|2020|2.0|2000|2000|85.0|https://competitions.codalab.org/competitions/24184|https://chalearnlap.cvc.uab.cat/challenge/38/description/||||multimedia|computer vision|develop their fair face verification method aiming for a reduced bias in terms of gender and skin color (protected attributes)|binary classification|||Ranking|bias (positive,negative pairs), accuracy|True|False|True|False||[0.0]
2020 VIPriors Image Classification Challenge|Saving data by adding visual knowledge priors to Deep Learning.|72|51.0|2020|2.0|None|None|130.0|https://competitions.codalab.org/competitions/23713|||||multimedia|computer vision|image classification|multi-class classification|||Top1 accuracy|accuracy|False|False|True|False||[1.3006681514476615]
2020 VIPriors Action Recognition Challenge|Saving data by adding visual knowledge priors to Deep Learning.|45|97.0|2020|2.0|None|None|130.0|https://competitions.codalab.org/competitions/23706|||||multimedia|computer vision|action recognition|multi-class classification|||Top1 accuracy|accuracy|False|False|True|False||[0.0]
2020 VIPriors Object Detection Challenge|Saving data by adding visual knowledge priors to Deep Learning.|81|102.0|2020|2.0|None|None|130.0|https://competitions.codalab.org/competitions/23661|||||multimedia|computer vision|object detection|multi-class classification|||AP @ 0.50:0.95|accuracy|False|False|True|False||[1.3340857787810385]
2020 VIPriors Semantic Segmentation Challenge|Saving data by adding visual knowledge priors to Deep Learning.|70|140.0|2020|2.0|None|None|130.0|https://competitions.codalab.org/competitions/23712|||||multimedia|computer vision|semantic segmentation|multi-class classification|||IoU Class|mean Intersection-over-Union (mIoU)|False|False|True|False||[1.2538860103626943]
AIM 2020 Efficient Super-Resolution Challenge|Our objectives are to gauge the s-o-t-a in example-based efficient single image super-resolution, to promote research on this topic and to introduce a novel benchmark.|202|370.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24684|||||multimedia|computer vision|super-resolving (increasing the resolution) an input image with a magnification factor x4 based on a set of prior examples of low and corresponding high resolution images|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[2.0]
AIM 2020 Image Extreme Inpainting Challenge Track 2 Semantic Guidance|Our objectives are to gauge the s-o-t-a in image inpainting, to promote research on this topic and to introduce a novel benchmark.|90|62.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24676|||||multimedia|computer vision|obtain a network design / solution capable of producing high quality results with the best perceptual quality and similarity to the reference ground truth|image reconstruction|||MOS|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[-0.0]
AIM 2020 Video Extreme Super-Resolution Challenge - Track 1: Fidelity|Our objectives are to gauge the s-o-t-a in example-based video extreme super-resolution, to promote research on this topic and to introduce a novel benchmark.|93|156.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24685|||||multimedia|computer vision|super-resolving (increasing the resolution) an input image with a magnification factor x16 based on a set of prior examples of low and corresponding high resolution images|video transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[6.5]
AIM 2020 Real Image Super-Resolution Challenge - Track 1 Upscaling x2|Our objectives are to gauge the s-o-t-a in real image super-resolution for which training pairs of low and high resolution images are available, to promote research on this topic and to introduce a novel benchmark.|211|500.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24680|||||multimedia|computer vision|obtain a network design / solution capable to produce high quality results with the best fidelity to the reference ground truth|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[14.666666666666668]
AIM 2020 Image Extreme Inpainting Challenge Track 1 Classic Inpainting|Our objectives are to gauge the s-o-t-a in image inpainting, to promote research on this topic and to introduce a novel benchmark.|123|174.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24675|||||multimedia|computer vision|obtain a network design / solution capable of producing high quality results with the best perceptual quality and similarity to the reference ground truth|image reconstruction|||MOS|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[19.0]
AIM 2020 Relighting Challenge Track 1: One-to-one relighting|Our objectives are to gauge the s-o-t-a in image relighting, or illumination style transfer, to promote research on this topic and to introduce a novel benchmark.|116|825.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24671|||||multimedia|computer vision|obtain a network design / solution capable of producing high-quality results with the best perceptual quality and similar to the reference ground truth|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[-8.333333333333334]
AIM 2020 Video Temporal Super-Resolution Challenge|Our objectives are to gauge the state-of-the-art example-based video temporal super-resolution (aka frame interpolation) to promote research on this topic and to introduce a novel benchmark.|132|39.0|2020|2.0|None|None|77.0|https://competitions.codalab.org/competitions/24584|||||multimedia|computer vision|super-resolving in the temporal domain (increasing the number of frames) an input video with an upsampling factor x4 based on a set of prior examples of high frame-rate videos|video transformation|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[nan]
AIM 2020 Learned Smartphone ISP Challenge - Track 1: Fidelity|The target of the learned smartphone ISP (aka RAW to RGB mapping) challenge is to promote research on this topic and to introduce a novel dataset with pairs of RAW (phone camera) and RGB (DSLR camera) corresponding images.|156|400.0|2020|2.0|None|None|69.0|https://competitions.codalab.org/competitions/24718|||||multimedia|computer vision|obtain an output image with the highest pixel fidelity to the ground truth as measured by PSNR / MS-SSIM scores|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[27.0]
AIM 2020 Rendering Realistic Bokeh Challenge - Track 1: on CPU|To gauge the state-of-the-art and promote the research in synthesized Bokeh effect we are organizing this challenge using a novel dataset with pairs of Bokeh-free and optical Bokeh (DSLR camera) corresponding images.|293|235.0|2020|2.0|None|None|72.0|https://competitions.codalab.org/competitions/24716|||||multimedia|computer vision|achieve a Bokeh effect image with the best perceptual quality similar to the ground truth as measured by the Mean Opinion Score (MOS)|image reconstruction|||MOS|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[-24.0]
ECCV Challenge on Image Restoration for Under-display Camera - Track 2 - P-OLED|This prize challenge aims at promoting the brand new image restoration problem caused by Under-Display Camera (UDC). It is a new trend of design for full-screen devices and is being explored by many high-tech companies. We provide a sample dataset for training and testing collected from multiple different display types and seek to find the most efficient and high-performed algorithms for UDC restoration.|79|247.0|2020|2.0|None|None|104.0|https://competitions.codalab.org/competitions/24293|||||multimedia|computer vision|obtain restored RGB images with the highest PSNR from low-quality T-OLED UDC images|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[1.1714888487040382]
ECCV Challenge on Image Restoration for Under-display Camera - Track 1 - T-OLED|This prize challenge aims at promoting the brand new image restoration problem caused by Under-Display Camera (UDC). It is a new trend of design for full-screen devices and is being explored by many high-tech companies. We provide a sample dataset for training and testing collected from multiple different display types and seek to find the most efficient and high-performed algorithms for UDC restoration.|93|228.0|2020|2.0|None|None|106.0|https://competitions.codalab.org/competitions/24275|||||multimedia|computer vision|obtain restored RGB images with the highest PSNR from low-quality P-OLED UDC images|image reconstruction|||PSNR|Peak Signal to Noise Ratio (PSNR), the Structural Similarity (SSIM) index|True|False|True|False||[1.1397597421623205]
VisDA 2020: Domain Adaptive Pedestrian Re-identification|The 4th Visual Domain Adaptation Challenge|170|926.0|2020|2.0|None|None|85.0|https://competitions.codalab.org/competitions/24664|||||urbanisme|computer vision|test domain adaptation methods’ ability to transfer source knowledge and adapt it to novel target domains: Domain Adaptive Pedestrian Re-identification||||mAP|mAP, CMC|True|False|True|False||[1.5443477960122436]
1st Tiny Object Detection Challenge|1st Tiny Object Detection Challenge for ECCV2020 Workshop|210|3753.0|2020|1.0|None|None|96.0|https://competitions.codalab.org/competitions/24551|||||multimedia|computer vision|object detection|binary classification||610 images with 72651 box-level annotations|AP50_tiny|AP, MR|True|False|True|False||[1.2212576156238129]
