submission_pk,User,b'Accuracy',b'Species1 F1 Score',b'Species2 F1 Score',b'Species3 F1 Score',b'Species4 F1 Score',b'Species5 F1 Score',b'Species6 F1 Score',b'Species7 F1 Score',b'Species8 F1 Score'
249430,LeoGori,0.8763 (92),0.7162 (173),0.8975 (89),0.9337 (141),0.8723 (147),0.9108 (104),0.9183 (107),0.9536 (118),0.7948 (169),
249516,joyawad,0.8763 (92),0.7736 (64),0.8830 (125),0.9197 (210),0.8349 (257),0.8936 (189),0.9185 (105),0.9633 (77),0.8188 (111),
247889,silvio.scanzi,0.8756 (93),0.6739 (240),0.8976 (88),0.9460 (84),0.8877 (91),0.9196 (73),0.9238 (82),0.9570 (109),0.7810 (209),
247653,andreacerasani,0.8756 (93),0.6947 (210),0.9012 (73),0.9302 (162),0.8919 (83),0.8932 (192),0.9132 (128),0.9747 (30),0.7948 (170),
248176,francescoscandale,0.8756 (93),0.6739 (240),0.8976 (88),0.9460 (84),0.8877 (91),0.9196 (73),0.9238 (82),0.9570 (109),0.7810 (209),
247214,ChristianDiDiego,0.8753 (94),0.7259 (155),0.8782 (143),0.9302 (163),0.8904 (86),0.9049 (125),0.9033 (163),0.9571 (108),0.8021 (150),
247246,MattiaC,0.8753 (94),0.7259 (155),0.8782 (143),0.9302 (163),0.8904 (86),0.9049 (125),0.9033 (163),0.9571 (108),0.8021 (150),
247373,alessandro.solinas,0.8753 (94),0.7747 (63),0.8560 (201),0.9217 (201),0.8814 (109),0.8947 (183),0.9235 (83),0.9167 (266),0.8217 (97),
249388,jasmine09,0.8753 (94),0.7259 (155),0.8782 (143),0.9302 (163),0.8904 (86),0.9049 (125),0.9033 (163),0.9571 (108),0.8021 (150),
248146,AlbertoNoris,0.8749 (95),0.7493 (116),0.8982 (85),0.9366 (127),0.8643 (169),0.8954 (177),0.8928 (190),0.9388 (194),0.8184 (113),
247937,Emaau,0.8746 (96),0.6764 (238),0.8957 (91),0.9287 (175),0.8986 (53),0.9091 (109),0.9175 (113),0.9625 (81),0.7781 (216),
249534,aleasto,0.8746 (96),0.7316 (147),0.8801 (136),0.9445 (92),0.8605 (182),0.9045 (128),0.9043 (158),0.9661 (62),0.7984 (160),
248705,Emanuele_Tamburini,0.8742 (97),0.7330 (143),0.8689 (168),0.9494 (70),0.8949 (69),0.9153 (89),0.9060 (150),0.9381 (199),0.7850 (195),
249293,tataboxxe,0.8742 (97),0.6871 (221),0.9071 (60),0.9417 (105),0.8571 (194),0.9003 (151),0.9311 (62),0.9552 (113),0.7927 (174),
248073,Alejandro.Jaramillo,0.8732 (98),0.7323 (146),0.8682 (172),0.9348 (133),0.8963 (64),0.9116 (100),0.8980 (177),0.9415 (174),0.7947 (172),
247553,mvignier,0.8732 (98),0.6904 (215),0.8886 (111),0.9459 (85),0.8668 (161),0.9214 (70),0.9112 (138),0.9624 (82),0.7825 (204),
247531,Alishadman,0.8732 (98),0.6904 (215),0.8886 (111),0.9459 (85),0.8668 (161),0.9214 (70),0.9112 (138),0.9624 (82),0.7825 (204),
247719,siavash,0.8732 (98),0.6904 (215),0.8886 (111),0.9459 (85),0.8668 (161),0.9214 (70),0.9112 (138),0.9624 (82),0.7825 (204),
248851,FraCerma,0.8732 (98),0.7079 (192),0.8714 (162),0.9565 (42),0.8880 (90),0.9148 (90),0.8926 (192),0.9478 (142),0.7913 (178),
249360,AldoCumitini,0.8732 (98),0.7079 (192),0.8714 (162),0.9565 (42),0.8880 (90),0.9148 (90),0.8926 (192),0.9478 (142),0.7913 (178),
249446,fdsc20,0.8732 (98),0.6904 (215),0.8886 (111),0.9459 (85),0.8668 (161),0.9214 (70),0.9112 (138),0.9624 (82),0.7825 (204),
247829,FrancescoGrilli,0.8729 (99),0.7218 (164),0.8744 (150),0.9384 (118),0.8463 (220),0.9016 (145),0.9182 (108),0.9542 (115),0.8229 (91),
247813,NanaJ,0.8725 (100),0.7588 (92),0.8686 (171),0.9195 (211),0.8933 (77),0.9048 (126),0.8924 (195),0.9488 (137),0.7908 (179),
247555,faccus,0.8725 (100),0.6991 (205),0.8664 (175),0.9379 (122),0.8854 (96),0.9224 (67),0.9104 (140),0.9614 (89),0.7855 (191),
249457,Edvard-exe,0.8725 (100),0.7588 (92),0.8686 (171),0.9195 (211),0.8933 (77),0.9048 (126),0.8924 (195),0.9488 (137),0.7908 (179),
249520,atif_javed23,0.8725 (100),0.6991 (205),0.8664 (175),0.9379 (122),0.8854 (96),0.9224 (67),0.9104 (140),0.9614 (89),0.7855 (191),
247684,VitobelloAndrea,0.8722 (101),0.7462 (122),0.8713 (163),0.9342 (136),0.8797 (117),0.9028 (139),0.9201 (99),0.9579 (104),0.7718 (230),
247963,stefangehler,0.8719 (102),0.7727 (66),0.8611 (187),0.9241 (193),0.8729 (145),0.8935 (190),0.9141 (123),0.9278 (238),0.7994 (159),
247990,valentinalidoni,0.8712 (103),0.7119 (181),0.8717 (158),0.9407 (109),0.8687 (154),0.9118 (99),0.8896 (204),0.9632 (78),0.7969 (165),
247648,Alem42,0.8705 (104),0.7085 (189),0.8877 (117),0.9207 (205),0.9009 (48),0.8975 (164),0.9120 (135),0.9412 (177),0.7877 (189),
248026,Caputo_Emmanuel,0.8702 (105),0.7582 (97),0.8686 (170),0.9355 (129),0.8713 (150),0.9042 (131),0.8864 (220),0.9279 (236),0.8018 (152),
249440,alegetz,0.8702 (105),0.7343 (140),0.9026 (71),0.9353 (132),0.8537 (203),0.8840 (212),0.9001 (171),0.9503 (132),0.7908 (180),
249499,Brune977,0.8702 (105),0.7343 (140),0.9026 (71),0.9353 (132),0.8537 (203),0.8840 (212),0.9001 (171),0.9503 (132),0.7908 (180),
249523,ap3statte,0.8702 (105),0.7343 (140),0.9026 (71),0.9353 (132),0.8537 (203),0.8840 (212),0.9001 (171),0.9503 (132),0.7908 (180),
249525,Matt30,0.8702 (105),0.7343 (140),0.9026 (71),0.9353 (132),0.8537 (203),0.8840 (212),0.9001 (171),0.9503 (132),0.7908 (180),
248819,MatteoCercola,0.8698 (106),0.7556 (104),0.8789 (139),0.9302 (163),0.8283 (264),0.8812 (217),0.9229 (87),0.9645 (72),0.8000 (157),
247467,Nicomane,0.8691 (107),0.6939 (211),0.8715 (160),0.9294 (168),0.8886 (89),0.9036 (134),0.9033 (162),0.9600 (97),0.7948 (169),
247517,marcofasa99,0.8691 (107),0.6939 (211),0.8715 (160),0.9294 (168),0.8886 (89),0.9036 (134),0.9033 (162),0.9600 (97),0.7948 (169),
247738,SpaNet,0.8691 (107),0.6939 (211),0.8715 (160),0.9294 (168),0.8886 (89),0.9036 (134),0.9033 (162),0.9600 (97),0.7948 (169),
248658,gulcetopal,0.8691 (107),0.7475 (118),0.8809 (132),0.9301 (164),0.9057 (38),0.9133 (94),0.8507 (287),0.9127 (280),0.8030 (148),
249220,raffaello.fornasiere,0.8691 (107),0.6939 (211),0.8715 (160),0.9294 (168),0.8886 (89),0.9036 (134),0.9033 (162),0.9600 (97),0.7948 (169),
249448,ossaleon,0.8685 (108),0.7335 (141),0.8579 (199),0.9206 (206),0.8760 (133),0.8959 (173),0.8926 (192),0.9462 (147),0.8073 (136),
249363,francesca.laido,0.8678 (109),0.7141 (177),0.8622 (182),0.9439 (93),0.8721 (148),0.9191 (75),0.8962 (182),0.9288 (233),0.7941 (173),
249259,yamabiko,0.8674 (110),0.7287 (152),0.8596 (190),0.9223 (199),0.8668 (160),0.8962 (170),0.8974 (179),0.9452 (153),0.8053 (142),
247468,Teom_,0.8671 (111),0.7329 (144),0.8539 (205),0.9330 (148),0.8850 (99),0.9015 (146),0.9196 (101),0.9256 (247),0.7885 (187),
248051,SadraMoghadam,0.8668 (112),0.7404 (128),0.8438 (235),0.9415 (106),0.8802 (115),0.9044 (129),0.8905 (200),0.9389 (193),0.7890 (186),
247433,WangJiaxuan,0.8668 (112),0.6885 (217),0.8790 (138),0.9245 (191),0.8798 (116),0.9073 (116),0.9096 (145),0.9428 (166),0.7881 (188),
247726,tinelli.chiara,0.8664 (113),0.7230 (163),0.8495 (217),0.9317 (153),0.8598 (184),0.8889 (204),0.9233 (85),0.9520 (125),0.7951 (168),
248602,MatteoBollini,0.8664 (113),0.6957 (209),0.8660 (177),0.9415 (106),0.8936 (75),0.9076 (114),0.8875 (214),0.9403 (181),0.7835 (199),
249279,TeoSagli99,0.8664 (113),0.6957 (209),0.8660 (177),0.9415 (106),0.8936 (75),0.9076 (114),0.8875 (214),0.9403 (181),0.7835 (199),
249095,nergs33700,0.8657 (114),0.7262 (153),0.8734 (154),0.9459 (86),0.8680 (156),0.8953 (178),0.9018 (167),0.9509 (128),0.7662 (246),
249500,GabMauc,0.8657 (114),0.7262 (154),0.8359 (253),0.9519 (61),0.8594 (187),0.9018 (141),0.9262 (73),0.9402 (182),0.7834 (200),
247667,mahshid.shiri,0.8651 (115),0.7715 (69),0.8456 (229),0.9292 (171),0.8540 (202),0.8966 (169),0.9078 (146),0.9204 (258),0.7926 (175),
248764,am7,0.8651 (115),0.7574 (100),0.8621 (183),0.9194 (212),0.8489 (214),0.8641 (273),0.9176 (111),0.9325 (222),0.8079 (134),
249159,ElliottDubuisson,0.8651 (115),0.7370 (136),0.8719 (156),0.9299 (165),0.8568 (195),0.8927 (196),0.8832 (224),0.9398 (186),0.7971 (163),
249477,amirhossein.zhalehmehrabi,0.8651 (115),0.7715 (69),0.8456 (229),0.9292 (171),0.8540 (202),0.8966 (169),0.9078 (146),0.9204 (258),0.7926 (175),
249510,bakirrajaa,0.8651 (115),0.7715 (69),0.8456 (229),0.9292 (171),0.8540 (202),0.8966 (169),0.9078 (146),0.9204 (258),0.7926 (175),
247189,dario_ostinelli,0.8647 (116),0.7107 (184),0.8714 (161),0.9243 (192),0.8849 (100),0.8982 (161),0.8967 (181),0.9378 (202),0.7970 (164),
248604,matteopalazzoli,0.8647 (116),0.7351 (139),0.8503 (213),0.9270 (183),0.8575 (192),0.9029 (138),0.9165 (118),0.9448 (157),0.7836 (198),
248621,danielecivati,0.8647 (116),0.7351 (139),0.8503 (213),0.9270 (183),0.8575 (192),0.9029 (138),0.9165 (118),0.9448 (157),0.7836 (198),
247730,MarDek,0.8644 (117),0.6602 (259),0.8779 (144),0.9432 (98),0.8586 (190),0.9033 (135),0.9099 (142),0.9661 (62),0.7744 (225),
248690,federica_spuriforotti,0.8644 (117),0.7137 (178),0.8488 (219),0.9383 (119),0.8673 (159),0.8975 (165),0.9131 (129),0.9479 (141),0.7814 (208),
248841,MartinBronzo,0.8644 (117),0.6602 (259),0.8779 (144),0.9432 (98),0.8586 (190),0.9033 (135),0.9099 (142),0.9661 (62),0.7744 (225),
248722,antonellalombardi,0.8637 (118),0.7471 (119),0.8459 (227),0.9332 (145),0.8518 (206),0.8922 (198),0.8625 (265),0.9448 (157),0.8192 (110),
247394,AlessioHu,0.8634 (119),0.6836 (229),0.8717 (159),0.9346 (134),0.8753 (137),0.9098 (107),0.9029 (166),0.9412 (177),0.7755 (222),
248730,FrancescoIacomi,0.8634 (119),0.6959 (208),0.8452 (231),0.9286 (176),0.8648 (166),0.9024 (140),0.9033 (162),0.9532 (121),0.7964 (167),
249371,Reebo,0.8630 (120),0.7022 (204),0.8534 (206),0.9410 (108),0.8414 (235),0.8983 (160),0.8599 (268),0.9606 (92),0.8215 (99),
247823,e_novelli,0.8627 (121),0.7469 (121),0.8404 (242),0.9304 (160),0.8595 (186),0.8916 (202),0.9136 (127),0.9231 (254),0.7900 (182),
248053,Silviaa_34,0.8623 (122),0.7292 (151),0.8579 (197),0.9175 (218),0.8591 (188),0.8787 (227),0.9112 (137),0.9244 (253),0.8060 (140),
248803,ChiaraBoscarino,0.8617 (123),0.7044 (199),0.8482 (223),0.9288 (172),0.8496 (212),0.9050 (124),0.8957 (183),0.9504 (130),0.7948 (171),
247431,HaoyuWu,0.8610 (124),0.6881 (218),0.8610 (188),0.9285 (177),0.8765 (129),0.9121 (98),0.9009 (170),0.9367 (208),0.7724 (228),
248974,FedericoPizzi,0.8610 (124),0.6844 (228),0.8608 (189),0.9344 (135),0.8632 (174),0.8997 (156),0.9053 (153),0.9421 (170),0.7825 (204),
249284,maurofama99,0.8610 (124),0.7213 (165),0.8564 (200),0.9293 (170),0.8442 (229),0.8981 (162),0.8889 (206),0.9629 (79),0.7850 (194),
249482,Reddmax,0.8610 (124),0.6844 (228),0.8608 (189),0.9344 (135),0.8632 (174),0.8997 (156),0.9053 (153),0.9421 (170),0.7825 (204),
249546,MatBou,0.8610 (124),0.6809 (235),0.8739 (152),0.9391 (116),0.8798 (116),0.9017 (143),0.8925 (193),0.9481 (140),0.7594 (259),
247321,SamueleMariani,0.8603 (125),0.7247 (157),0.8418 (238),0.9353 (132),0.8954 (68),0.8947 (184),0.9036 (161),0.9260 (245),0.7675 (240),
248716,_alepiana_,0.8600 (126),0.6849 (227),0.8590 (191),0.9389 (117),0.8414 (236),0.8763 (239),0.9050 (156),0.9483 (139),0.7995 (158),
248776,riccardo192,0.8600 (126),0.6849 (227),0.8590 (191),0.9389 (117),0.8414 (236),0.8763 (239),0.9050 (156),0.9483 (139),0.7995 (158),
247639,sofiamartellozzo,0.8596 (127),0.7153 (175),0.8503 (214),0.9311 (155),0.8503 (210),0.9043 (130),0.8858 (222),0.9642 (74),0.7717 (231),
247668,MarcoCayou,0.8596 (127),0.7162 (173),0.8816 (131),0.9198 (208),0.8479 (218),0.8951 (180),0.8925 (194),0.9401 (183),0.7754 (223),
247569,lorenzomondo,0.8593 (128),0.7358 (138),0.8635 (181),0.9160 (221),0.8272 (268),0.8811 (218),0.9029 (166),0.9657 (66),0.7815 (207),
248119,Tommy,0.8593 (128),0.7098 (187),0.8871 (118),0.9226 (197),0.8605 (181),0.8759 (242),0.8769 (236),0.9453 (152),0.7895 (184),
249199,AliNoshad,0.8593 (128),0.6771 (237),0.8705 (164),0.9383 (119),0.8542 (201),0.8950 (181),0.8882 (209),0.9563 (111),0.7731 (226),
249391,kia_rz,0.8593 (128),0.6771 (237),0.8705 (164),0.9383 (119),0.8542 (201),0.8950 (181),0.8882 (209),0.9563 (111),0.7731 (226),
248093,aygalic,0.8589 (129),0.7109 (183),0.8489 (218),0.9355 (130),0.8826 (108),0.8929 (195),0.8879 (211),0.9398 (187),0.7642 (250),
249255,saraghezzi,0.8589 (129),0.6849 (226),0.8388 (249),0.9297 (167),0.8718 (149),0.8969 (167),0.8758 (240),0.9449 (156),0.8103 (130),
249341,facc,0.8589 (129),0.7031 (201),0.8676 (174),0.9225 (198),0.8598 (183),0.8966 (168),0.8879 (210),0.9425 (168),0.7779 (217),
249467,Sasco,0.8589 (129),0.6929 (213),0.8645 (179),0.9315 (154),0.8333 (258),0.8950 (181),0.9016 (168),0.9286 (234),0.8057 (141),
248576,nnethercott,0.8586 (130),0.6974 (207),0.8689 (167),0.9307 (158),0.8685 (155),0.8999 (154),0.8786 (234),0.9535 (119),0.7593 (261),
248614,roberta_troilo,0.8586 (130),0.6974 (207),0.8689 (167),0.9307 (158),0.8685 (155),0.8999 (154),0.8786 (234),0.9535 (119),0.7593 (261),
248751,giulia_palmieri,0.8586 (130),0.7194 (166),0.8314 (262),0.9425 (102),0.8511 (209),0.8910 (203),0.9059 (151),0.9373 (205),0.7842 (197),
249127,ericamartinetti,0.8586 (130),0.6974 (207),0.8689 (167),0.9307 (158),0.8685 (155),0.8999 (154),0.8786 (234),0.9535 (119),0.7593 (261),
249553,valeabba,0.8586 (130),0.7075 (194),0.8886 (110),0.9044 (253),0.8349 (257),0.8532 (295),0.9041 (160),0.9468 (146),0.8114 (128),
247580,filippomanzardo,0.8583 (131),0.7452 (123),0.9050 (64),0.8821 (301),0.8352 (256),0.8501 (301),0.8934 (188),0.9583 (102),0.7892 (185),
248027,GiulioCielo,0.8579 (132),0.6330 (295),0.8659 (178),0.9287 (175),0.8624 (177),0.8988 (158),0.8915 (196),0.9534 (120),0.7853 (192),
248706,Virgi,0.8579 (132),0.6677 (249),0.8615 (185),0.9367 (126),0.8631 (175),0.9037 (132),0.8713 (249),0.9504 (130),0.7831 (201),
248028,yuhang.xiong,0.8576 (133),0.7172 (169),0.8698 (165),0.9214 (202),0.8483 (216),0.8697 (256),0.9171 (115),0.9427 (167),0.7696 (234),
248586,fede.rico,0.8576 (133),0.7172 (169),0.8698 (165),0.9214 (202),0.8483 (216),0.8697 (256),0.9171 (115),0.9427 (167),0.7696 (234),
248679,LorenzoGiarola,0.8572 (134),0.7090 (188),0.8587 (192),0.9324 (149),0.8618 (178),0.8880 (205),0.9033 (163),0.9389 (193),0.7634 (253),
247320,federica_rena,0.8566 (135),0.6688 (247),0.8316 (261),0.9465 (82),0.8724 (146),0.9098 (108),0.8341 (308),0.9531 (122),0.8042 (144),
247392,Thombruf,0.8552 (136),0.6698 (246),0.8453 (230),0.9418 (104),0.8471 (219),0.8993 (157),0.8980 (176),0.9389 (192),0.7806 (211),
249393,mattia_marinoni,0.8552 (136),0.7076 (193),0.8284 (268),0.9288 (172),0.8422 (231),0.8997 (155),0.8994 (174),0.9448 (157),0.7825 (205),
249018,andreakrijgsman,0.8549 (137),0.6626 (255),0.8532 (207),0.9333 (144),0.8664 (163),0.8959 (174),0.8948 (185),0.9386 (196),0.7793 (213),
247474,StefanoVannoni,0.8542 (138),0.7306 (148),0.8497 (216),0.9136 (231),0.8398 (242),0.8804 (221),0.8906 (199),0.9440 (162),0.7822 (206),
249549,apindozzi,0.8542 (138),0.7028 (202),0.8614 (186),0.9432 (98),0.8223 (280),0.8952 (179),0.8976 (178),0.9250 (250),0.7829 (202),
248609,FrancescoPanebianco,0.8538 (139),0.7487 (117),0.8197 (285),0.9252 (190),0.8647 (168),0.8937 (188),0.8870 (216),0.9273 (240),0.7648 (249),
248775,hannesbacke,0.8538 (139),0.6448 (279),0.8678 (173),0.9346 (134),0.8613 (179),0.8962 (171),0.8902 (201),0.9529 (124),0.7635 (252),
247807,carlo_manenti,0.8535 (140),0.6440 (281),0.8770 (147),0.9317 (152),0.8609 (180),0.9014 (147),0.8676 (255),0.9448 (157),0.7768 (219),
248142,itsmebonny,0.8532 (141),0.6758 (239),0.8505 (212),0.9253 (189),0.8494 (213),0.8956 (176),0.8915 (196),0.9357 (212),0.7772 (218),
248603,MatteoMalve,0.8532 (141),0.6857 (224),0.8191 (286),0.9379 (124),0.8553 (198),0.9061 (121),0.8521 (284),0.9468 (146),0.8033 (147),
248708,Sun.yixuan,0.8532 (141),0.6758 (239),0.8505 (212),0.9253 (189),0.8494 (213),0.8956 (176),0.8915 (196),0.9357 (212),0.7772 (218),
247881,Lorma200,0.8521 (142),0.7394 (133),0.8287 (266),0.9164 (220),0.8575 (193),0.8664 (264),0.8806 (231),0.9367 (207),0.7907 (181),
248015,GianMario,0.8521 (142),0.6832 (231),0.8260 (270),0.9275 (181),0.8456 (223),0.8856 (211),0.8896 (204),0.9380 (200),0.8038 (145),
248558,caspar,0.8521 (142),0.6832 (231),0.8260 (270),0.9275 (181),0.8456 (223),0.8856 (211),0.8896 (204),0.9380 (200),0.8038 (145),
248970,matt4pa4n,0.8521 (142),0.7394 (133),0.8287 (266),0.9164 (220),0.8575 (193),0.8664 (264),0.8806 (231),0.9367 (207),0.7907 (181),
249062,B34,0.8521 (142),0.7394 (133),0.8287 (266),0.9164 (220),0.8575 (193),0.8664 (264),0.8806 (231),0.9367 (207),0.7907 (181),
249324,nympha,0.8521 (142),0.7401 (130),0.8583 (195),0.9335 (143),0.8443 (228),0.8679 (262),0.8933 (189),0.9340 (217),0.7491 (278),
247522,lostinstaches,0.8515 (143),0.7052 (197),0.8516 (208),0.9079 (244),0.8448 (227),0.8690 (258),0.9078 (147),0.9323 (224),0.7804 (212),
248989,FilippoCastellani,0.8515 (143),0.6877 (220),0.8258 (271),0.9137 (229),0.8648 (167),0.8836 (213),0.8717 (248),0.9311 (228),0.8160 (117),
247616,JeanEmmanuel,0.8504 (144),0.6991 (205),0.8418 (238),0.9339 (139),0.8370 (251),0.9032 (136),0.8866 (219),0.9193 (260),0.7668 (242),
247752,sarahabbana,0.8504 (144),0.7034 (200),0.8464 (225),0.9412 (107),0.8258 (271),0.8877 (207),0.8883 (208),0.9404 (179),0.7651 (248),
248910,julien_taran,0.8504 (144),0.7034 (200),0.8464 (225),0.9412 (107),0.8258 (271),0.8877 (207),0.8883 (208),0.9404 (179),0.7651 (248),
249302,Eric.bluteau,0.8504 (144),0.7034 (200),0.8464 (225),0.9412 (107),0.8258 (271),0.8877 (207),0.8883 (208),0.9404 (179),0.7651 (248),
247617,ArashAzizi222,0.8501 (145),0.7160 (174),0.8508 (210),0.9319 (151),0.8274 (267),0.8794 (226),0.8819 (227),0.9364 (210),0.7677 (238),
247544,glazzarelli,0.8501 (145),0.7160 (174),0.8508 (210),0.9319 (151),0.8274 (267),0.8794 (226),0.8819 (227),0.9364 (210),0.7677 (238),
247697,Carlo,0.8501 (145),0.7160 (174),0.8508 (210),0.9319 (151),0.8274 (267),0.8794 (226),0.8819 (227),0.9364 (210),0.7677 (238),
248678,KrautLobster,0.8494 (146),0.5744 (344),0.8616 (184),0.9231 (196),0.8813 (110),0.9072 (117),0.8795 (232),0.9658 (65),0.7552 (265),
249515,Shakibas,0.8491 (147),0.7050 (198),0.8177 (288),0.8633 (318),0.8731 (143),0.8868 (208),0.9078 (148),0.9364 (211),0.7899 (183),
248227,janakh,0.8477 (148),0.7619 (85),0.8415 (239),0.8741 (312),0.8418 (232),0.8454 (310),0.8885 (207),0.9452 (154),0.7852 (193),
249123,antoniosgara,0.8477 (148),0.7364 (137),0.8131 (295),0.9332 (146),0.7952 (323),0.9098 (108),0.8630 (264),0.9520 (126),0.7809 (210),
249353,bower,0.8477 (148),0.6827 (232),0.8479 (224),0.8964 (271),0.8453 (224),0.8748 (243),0.8999 (173),0.9503 (131),0.7765 (220),
248955,v17iers,0.8474 (149),0.6656 (253),0.8717 (159),0.9141 (228),0.8249 (273),0.8761 (240),0.8901 (202),0.9505 (129),0.7596 (258),
249564,andrea-mic,0.8467 (150),0.6458 (278),0.8788 (141),0.9176 (216),0.8662 (164),0.8933 (191),0.8709 (250),0.9483 (139),0.7359 (297),
247781,ValeMTo,0.8464 (151),0.7053 (196),0.8238 (276),0.9259 (187),0.8235 (277),0.8801 (222),0.8361 (305),0.9375 (203),0.8147 (119),
248157,MatteoCaccavale,0.8464 (151),0.6719 (242),0.8311 (264),0.9394 (113),0.8638 (171),0.9089 (110),0.8336 (309),0.9347 (214),0.7659 (247),
248259,EnricoBrunetti,0.8464 (151),0.6719 (242),0.8311 (264),0.9394 (113),0.8638 (171),0.9089 (110),0.8336 (309),0.9347 (214),0.7659 (247),
248972,santipistone,0.8464 (151),0.6719 (242),0.8311 (264),0.9394 (113),0.8638 (171),0.9089 (110),0.8336 (309),0.9347 (214),0.7659 (247),
249462,Riccas,0.8464 (151),0.6100 (310),0.8158 (290),0.9510 (63),0.8740 (140),0.8966 (169),0.8748 (241),0.9531 (122),0.7631 (254),
248780,carlotta_pagani,0.8457 (152),0.6709 (245),0.8411 (241),0.9324 (150),0.8484 (215),0.8786 (228),0.8879 (212),0.9204 (259),0.7702 (233),
249023,lucapizzocolo,0.8457 (152),0.6486 (274),0.8718 (157),0.9156 (223),0.8415 (234),0.9024 (140),0.8735 (244),0.9413 (176),0.7509 (273),
247890,LesSimon,0.8453 (153),0.7122 (180),0.8560 (202),0.8871 (292),0.8457 (222),0.8649 (271),0.9140 (124),0.9150 (272),0.7685 (236),
248200,Ukrian,0.8447 (154),0.7050 (198),0.8459 (227),0.8921 (284),0.8417 (233),0.8679 (262),0.8741 (242),0.9494 (135),0.7692 (235),
249058,AlessandroLucatelli,0.8447 (154),0.7245 (158),0.8181 (287),0.9396 (111),0.8246 (275),0.8806 (219),0.8617 (266),0.9153 (270),0.7983 (161),
248894,Valentinoche,0.8443 (155),0.6826 (233),0.8399 (245),0.9298 (166),0.8379 (248),0.8720 (251),0.9123 (134),0.9159 (267),0.7503 (274),
249142,FraDap,0.8436 (156),0.6719 (243),0.8342 (256),0.9114 (238),0.8070 (306),0.8769 (233),0.9048 (157),0.9344 (215),0.8005 (156),
249536,Paolo,0.8433 (157),0.6238 (300),0.8420 (237),0.9212 (203),0.8497 (211),0.8877 (207),0.8724 (246),0.9447 (159),0.7667 (243),
248115,FilippoBrunelli,0.8430 (158),0.5843 (337),0.8488 (220),0.9342 (137),0.8690 (153),0.8941 (186),0.8927 (191),0.9266 (243),0.7558 (264),
248151,Jody98,0.8430 (158),0.7116 (182),0.7967 (323),0.9233 (195),0.8378 (249),0.8770 (232),0.8762 (238),0.9356 (213),0.7822 (206),
249128,EnricoSarneri,0.8426 (159),0.6430 (283),0.7976 (321),0.9490 (73),0.8795 (118),0.8918 (201),0.8589 (269),0.9368 (206),0.7615 (255),
248029,Crugio48,0.8423 (160),0.6864 (222),0.8483 (222),0.9005 (262),0.8143 (293),0.8640 (274),0.8973 (180),0.9399 (185),0.7692 (235),
248233,SarahZ,0.8423 (160),0.6833 (230),0.8381 (251),0.9061 (248),0.8548 (199),0.8736 (248),0.8702 (252),0.9338 (218),0.7663 (245),
249591,Haruhiro,0.8423 (160),0.6864 (222),0.8483 (222),0.9005 (262),0.8143 (293),0.8640 (274),0.8973 (180),0.9399 (185),0.7692 (235),
247665,Lorenzo_DallAglio,0.8413 (161),0.6493 (273),0.8638 (180),0.9267 (184),0.8083 (303),0.8940 (187),0.8725 (245),0.9541 (117),0.7532 (270),
248868,ema.paci,0.8413 (161),0.6615 (258),0.8242 (273),0.9206 (206),0.8377 (250),0.8973 (166),0.8540 (279),0.9471 (145),0.7744 (224),
247842,nicola.cecere,0.8402 (162),0.6602 (260),0.8306 (265),0.9258 (188),0.8224 (279),0.8728 (249),0.8512 (286),0.9270 (241),0.8021 (151),
247658,foxchris,0.8396 (163),0.5694 (345),0.8439 (234),0.9337 (140),0.8418 (232),0.8919 (200),0.9104 (140),0.9421 (169),0.7439 (284),
248143,francesco_bleggi,0.8396 (163),0.6714 (244),0.8387 (250),0.9149 (226),0.8480 (217),0.8798 (223),0.8641 (263),0.9394 (189),0.7490 (279),
248612,albertoboffi,0.8396 (163),0.6714 (244),0.8387 (250),0.9149 (226),0.8480 (217),0.8798 (223),0.8641 (263),0.9394 (189),0.7490 (279),
248998,ioanaruxandra,0.8396 (163),0.6714 (244),0.8387 (250),0.9149 (226),0.8480 (217),0.8798 (223),0.8641 (263),0.9394 (189),0.7490 (279),
249152,filpagi,0.8396 (163),0.5694 (345),0.8439 (234),0.9337 (140),0.8418 (232),0.8919 (200),0.9104 (140),0.9421 (169),0.7439 (284),
247583,raffaele_kik,0.8392 (164),0.6974 (206),0.8141 (291),0.9307 (159),0.8010 (316),0.8477 (306),0.9031 (164),0.9444 (160),0.7715 (232),
247511,AlessiaLindemann,0.8392 (164),0.6784 (236),0.8440 (233),0.9175 (217),0.8030 (314),0.8747 (246),0.8761 (239),0.9311 (229),0.7781 (215),
247514,danicash,0.8389 (165),0.6616 (256),0.8402 (243),0.9129 (233),0.8462 (221),0.8935 (190),0.8860 (221),0.9213 (257),0.7327 (302),
249185,NicolaAnastasi,0.8389 (165),0.6616 (256),0.8402 (243),0.9129 (233),0.8462 (221),0.8935 (190),0.8860 (221),0.9213 (257),0.7327 (302),
248610,andrea_chizzola,0.8382 (166),0.7133 (179),0.8199 (284),0.9128 (234),0.8303 (260),0.8481 (305),0.8870 (215),0.9333 (220),0.7503 (274),
248871,Vinhlequang,0.8368 (167),0.6893 (216),0.8340 (257),0.9007 (260),0.8449 (226),0.8650 (270),0.8444 (295),0.9223 (255),0.7847 (196),
